symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,outcome,pnl,balance,duration_candles
EURUSD,SELL,2022-07-13 11:00:00,2022-07-13 11:30:00,1.00394,1.00394,1.00394,1.0036200000000002,0.6250000000002424,BE_HIT_PESSIMISTIC,-0.0,100.0,1
EURUSD,SELL,2022-08-24 11:30:00,2022-08-24 12:00:00,0.99486,0.99497,0.99497,0.9946399999999999,0.9090909090904589,BE_HIT_PESSIMISTIC,-1.0,99.0,1
EURUSD,BUY,2023-03-15 12:30:00,2023-03-15 13:00:00,1.07309,1.07294,1.07294,1.0733900000000003,0.6599999999995841,BE_HIT,-0.99,98.01,1
EURUSD,BUY,2023-05-05 15:30:00,2023-05-05 16:00:00,1.10241,1.10233,1.10233,1.1025699999999996,1.2251250000021752,BE_HIT,-0.98,97.03,1
EURUSD,SELL,2023-05-16 11:30:00,2023-05-16 12:00:00,1.08754,1.0876899999999998,1.0876899999999998,1.0872400000000002,0.6468660000005501,BE_HIT_PESSIMISTIC,-0.97,96.06,1
EURUSD,BUY,2023-09-29 10:30:00,2023-09-29 11:00:00,1.05756,1.0578400000000001,1.05742,1.0578400000000001,0.6861400071427152,TP_HIT,1.92,97.98,1
EURUSD,BUY,2023-10-12 15:30:00,2023-10-12 16:00:00,1.06177,1.06182,1.06182,1.0616700000000003,1.9596158604045675,BE_HIT_PESSIMISTIC,0.98,98.96,1
EURUSD,BUY,2023-10-12 16:00:00,2023-10-12 16:30:00,1.06185,1.06182,1.06182,1.06191,3.298686698342806,BE_HIT_PESSIMISTIC,-0.99,97.97,1
EURUSD,BUY,2023-10-12 16:30:00,2023-10-12 17:00:00,1.06189,1.06182,1.06182,1.06203,1.399585642009682,BE_HIT_PESSIMISTIC,-0.98,96.99,1
EURUSD,BUY,2024-01-19 17:30:00,2024-01-19 18:00:00,1.08798,1.08783,1.08783,1.0882799999999997,0.6466085666091567,BE_HIT_PESSIMISTIC,-0.97,96.02,1
EURUSD,SELL,2024-01-29 10:30:00,2024-01-29 11:00:00,1.08458,1.0843200000000006,1.0847099999999998,1.0843200000000006,0.7386259395505316,TP_HIT,1.92,97.94,1
EURUSD,SELL,2024-01-29 11:00:00,2024-01-29 11:30:00,1.08464,1.0847099999999998,1.0847099999999998,1.0845000000000005,1.399168565492801,BE_HIT_PESSIMISTIC,-0.98,96.96,1
EURUSD,SELL,2024-06-12 11:30:00,2024-06-12 12:00:00,1.07409,1.0737100000000002,1.07428,1.0737100000000002,0.5103283241495175,TP_HIT,1.94,98.9,1
EURUSD,SELL,2024-06-12 12:00:00,2024-06-12 12:30:00,1.07414,1.07428,1.07428,1.0738600000000005,0.706440208716195,BE_HIT_PESSIMISTIC,-0.99,97.91,1
EURUSD,SELL,2025-08-21 10:00:00,2025-08-21 10:30:00,1.1647,1.16485,1.16485,1.1644000000000003,0.652750752853419,BE_HIT,-0.98,96.93,1
EURUSD,SELL,2025-08-21 15:30:00,2025-08-21 16:00:00,1.16488,1.1649399999999999,1.1649399999999999,1.16476,1.615558113312212,BE_HIT_PESSIMISTIC,-0.97,95.96,1
EURUSD,SELL,2019-11-07 16:00:00,2019-11-07 16:30:00,1.10758,1.1076199999999998,1.1076199999999998,1.1075000000000004,2.399103798277513,BE_HIT_PESSIMISTIC,-0.96,95.0,1
EURUSD,SELL,2019-11-12 10:30:00,2019-11-12 11:00:00,1.10339,1.10347,1.10347,1.1032300000000004,1.1875563801440727,BE_HIT_PESSIMISTIC,-0.95,94.05,1
EURUSD,BUY,2020-01-17 11:30:00,2020-01-17 12:00:00,1.11362,1.11341,1.11341,1.1140400000000001,0.4478784062248767,BE_HIT,-0.94,93.11,1
EURUSD,BUY,2020-01-17 12:00:00,2020-01-17 12:30:00,1.11348,1.11341,1.11341,1.11362,1.3301988664878837,BE_HIT_PESSIMISTIC,-0.93,92.18,1
EURUSD,BUY,2020-01-17 12:30:00,2020-01-17 13:00:00,1.11355,1.11341,1.11341,1.11383,0.6584484389115024,BE_HIT,-0.92,91.26,1
EURUSD,SELL,2020-06-26 10:00:00,2020-06-26 11:00:00,1.12226,1.1217800000000004,1.1224999999999998,1.1217800000000004,0.3802539734717948,TP_HIT,1.83,93.09,2
EURUSD,BUY,2021-10-12 16:30:00,2021-10-12 17:00:00,1.15555,1.15547,1.15547,1.1557100000000002,1.1635771588215387,BE_HIT_PESSIMISTIC,-0.93,92.16,1
GBPUSD,SELL,2025-12-18 11:00:00,2025-12-18 11:30:00,1.3370600000000001,1.3370600000000001,1.3370600000000001,1.3371000000000008,4.999999999911733,BE_HIT_PESSIMISTIC,-0.0,100.0,1
GBPUSD,SELL,2020-07-16 17:00:00,2020-07-16 17:30:00,1.25584,1.25599,1.25599,1.2555400000000003,0.6666666666672335,BE_HIT,-1.0,99.0,1
GBPUSD,SELL,2020-07-16 17:30:00,2020-07-16 18:00:00,1.25589,1.25599,1.25599,1.25569,0.990000000000109,BE_HIT_PESSIMISTIC,-0.99,98.01,1
USDJPY,SELL,2025-09-15 12:30:00,2025-09-15 13:00:00,147.46,147.46,147.46,147.42600000000002,0.5882352941177886,BE_HIT_PESSIMISTIC,-0.0,100.0,1
USDJPY,BUY,2025-10-09 15:00:00,2025-10-09 15:30:00,152.628,152.63599999999997,152.624,152.63599999999997,2.5000000000058265,TP_HIT,2.0,102.0,1
USDJPY,SELL,2019-12-12 16:00:00,2019-12-12 17:00:00,108.639,108.58899999999998,108.664,108.58899999999998,0.4079999999999072,TP_HIT,2.04,104.04,2
USDJPY,SELL,2020-07-23 15:00:00,2020-07-23 16:00:00,107.159,107.17,107.17,107.13700000000001,0.9458181818185533,BE_HIT,-1.04,103.0,2
USDJPY,SELL,2020-07-23 16:30:00,2020-07-23 17:00:00,107.165,107.17,107.17,107.15500000000002,2.059992000001874,BE_HIT_PESSIMISTIC,-1.03,101.97,1
USDJPY,SELL,2020-09-07 16:00:00,2020-09-07 16:30:00,106.217,106.21499999999999,106.21499999999999,106.22100000000002,5.098480199975656,BE_HIT_PESSIMISTIC,1.02,102.99,1
USDCAD,SELL,2024-02-07 12:00:00,2024-02-07 12:30:00,1.3486500000000001,1.3486500000000001,1.3486500000000001,1.3483900000000006,0.7692307692322992,BE_HIT_PESSIMISTIC,-0.0,100.0,1
